N,M,V,J/V_final,T,Status
4,4,-1,2.0,7,Missing
4,4,-1,2.0,8,Missing
4,4,-1,2.0,9,Missing
4,4,-1,2.0,10,Missing
4,4,1,2.0,1,Missing
4,4,1,2.0,2,Missing
4,4,1,2.0,3,Missing
4,4,1,2.0,4,Missing
4,4,1,2.0,5,Missing
4,4,1,2.0,6,Missing
4,4,1,2.0,7,Missing
4,4,1,2.0,8,Missing
4,4,1,2.0,9,Missing
4,4,1,2.0,10,Missing
4,5,-1,2.0,1,Missing
4,5,-1,2.0,2,Missing
4,5,-1,2.0,3,Missing
4,5,-1,2.0,4,Missing
4,5,-1,2.0,5,Missing
4,5,-1,2.0,6,Missing
4,5,-1,2.0,7,Missing
4,5,-1,2.0,8,Missing
4,5,-1,2.0,9,Missing
4,5,-1,2.0,10,Missing
4,5,1,2.0,1,Missing
4,5,1,2.0,2,Missing
4,5,1,2.0,3,Missing
4,5,1,2.0,4,Missing
4,5,1,2.0,5,Missing
4,5,1,2.0,6,Missing
4,5,1,2.0,7,Missing
4,5,1,2.0,8,Missing
4,5,1,2.0,9,Missing
4,5,1,2.0,10,Missing
5,2,-1,2.0,1,Missing
5,2,-1,2.0,2,Missing
5,2,-1,2.0,3,Missing
5,2,-1,2.0,4,Missing
5,2,-1,2.0,5,Missing
5,2,-1,2.0,6,Missing
5,2,-1,2.0,7,Missing
5,2,-1,2.0,8,Missing
5,2,-1,2.0,9,Missing
5,2,-1,2.0,10,Missing
5,2,1,2.0,1,Missing
5,2,1,2.0,2,Missing
5,2,1,2.0,3,Missing
5,2,1,2.0,4,Missing
5,2,1,2.0,5,Missing
5,2,1,2.0,6,Missing
5,2,1,2.0,7,Missing
5,2,1,2.0,8,Missing
5,2,1,2.0,9,Missing
5,2,1,2.0,10,Missing
5,3,-1,2.0,1,Missing
5,3,-1,2.0,2,Missing
5,3,-1,2.0,3,Missing
5,3,-1,2.0,4,Missing
5,3,-1,2.0,5,Missing
5,3,-1,2.0,6,Missing
5,3,-1,2.0,7,Missing
5,3,-1,2.0,8,Missing
5,3,-1,2.0,9,Missing
5,3,-1,2.0,10,Missing
5,3,1,2.0,1,Missing
5,3,1,2.0,2,Missing
5,3,1,2.0,3,Missing
5,3,1,2.0,4,Missing
5,3,1,2.0,5,Missing
5,3,1,2.0,6,Missing
5,3,1,2.0,7,Missing
5,3,1,2.0,8,Missing
5,3,1,2.0,9,Missing
5,3,1,2.0,10,Missing
5,4,-1,2.0,1,Missing
5,4,-1,2.0,2,Missing
5,4,-1,2.0,3,Missing
5,4,-1,2.0,4,Missing
5,4,-1,2.0,5,Missing
5,4,-1,2.0,6,Missing
5,4,-1,2.0,7,Missing
5,4,-1,2.0,8,Missing
5,4,-1,2.0,9,Missing
5,4,-1,2.0,10,Missing
5,4,1,2.0,1,Missing
5,4,1,2.0,2,Missing
5,4,1,2.0,3,Missing
5,4,1,2.0,4,Missing
5,4,1,2.0,5,Missing
5,4,1,2.0,6,Missing
5,4,1,2.0,7,Missing
5,4,1,2.0,8,Missing
5,4,1,2.0,9,Missing
5,4,1,2.0,10,Missing
5,5,-1,2.0,1,Missing
5,5,-1,2.0,2,Missing
5,5,-1,2.0,3,Missing
5,5,-1,2.0,4,Missing
5,5,-1,2.0,5,Missing
5,5,-1,2.0,6,Missing
5,5,-1,2.0,7,Missing
5,5,-1,2.0,8,Missing
5,5,-1,2.0,9,Missing
5,5,-1,2.0,10,Missing
5,5,1,2.0,1,Missing
5,5,1,2.0,2,Missing
5,5,1,2.0,3,Missing
5,5,1,2.0,4,Missing
5,5,1,2.0,5,Missing
5,5,1,2.0,6,Missing
5,5,1,2.0,7,Missing
5,5,1,2.0,8,Missing
5,5,1,2.0,9,Missing
5,5,1,2.0,10,Missing
